table_name,excel_column,db_column,excel_type,db_type,match_status
tb_grade_summary,total_students,total_students,str,integer,exact
tb_grade_summary,ins_user_id,ins_user_id,str,character varying(50),exact
tb_grade_summary,ins_dt,ins_dt,str,timestamp without time zone,exact
tb_grade_summary,upd_user_id,upd_user_id,str,character varying(50),exact
tb_grade_summary,upd_dt,upd_dt,str,timestamp without time zone,exact
tb_grade_summary,col_13,,str,,missing_in_db
tb_professor,professor_cd,professor_cd,str,character varying(20),exact
tb_professor,professor_nm,professor_nm,str,character varying(50),exact
tb_professor,professor_nm_en,professor_nm_en,unknown,character varying(100),exact
tb_professor,department_cd,department_cd,int,character varying(20),exact
tb_professor,email,email,str,character varying(100),exact
tb_professor,phone,phone,str,character varying(20),exact
tb_professor,office_location,office_location,unknown,character varying(100),exact
tb_professor,position,position,str,character varying(50),exact
tb_professor,specialty,specialty,unknown,character varying(500),exact
tb_professor,use_fg,use_fg,str,character(1),exact
tb_professor,ins_user_id,ins_user_id,str,character varying(50),exact
tb_professor,ins_dt,ins_dt,str,timestamp without time zone,exact
tb_professor,upd_user_id,upd_user_id,str,character varying(50),exact
tb_professor,upd_dt,upd_dt,str,timestamp without time zone,exact
tb_professor,col_14,,str,,missing_in_db
tb_professor_course,professor_course_id,professor_course_id,str,uuid,exact
tb_professor_course,professor_cd,professor_cd,str,character varying(20),exact
tb_professor_course,course_cd,course_cd,str,character varying(20),exact
tb_professor_course,is_primary,is_primary,int,character(1),exact
tb_professor_course,ins_user_id,ins_user_id,str,character varying(50),exact
tb_professor_course,ins_dt,ins_dt,date,timestamp without time zone,exact
tb_professor_course,col_6,,str,,missing_in_db
tb_program,program_cd,program_cd,int,character varying(20),exact
tb_program,program_nm,program_nm,str,character varying(200),exact
tb_program,program_type,program_type,str,character varying(50),exact
tb_program,organizer,organizer,int,character varying(200),exact
tb_program,start_date,start_date,int,date,exact
tb_program,end_date,end_date,int,date,exact
tb_program,description,description,str,text,exact
tb_program,competency_contributions,competency_contributions,str,jsonb,exact
tb_program,use_fg,use_fg,str,character(1),exact
tb_program,ins_user_id,ins_user_id,str,character varying(50),exact
tb_program,ins_dt,ins_dt,date,timestamp without time zone,exact
tb_program,upd_user_id,upd_user_id,str,character varying(50),exact
tb_program,upd_dt,upd_dt,date,timestamp without time zone,exact
tb_program,col_13,,str,,missing_in_db
tb_student_competency,student_competency_id,student_competency_id,int,uuid,exact
tb_student_competency,student_id,student_id,int,character varying(20),exact
tb_student_competency,competency_cd,competency_cd,int,character varying(20),exact
tb_student_competency,current_score,current_score,float,numeric,exact
tb_student_competency,target_score,target_score,str,numeric,exact
tb_student_competency,gap_score,gap_score,str,numeric,exact
tb_student_competency,status,status,str,character varying(20),exact
tb_student_competency,last_assessment_date,last_assessment_date,str,date,exact
tb_student_competency,trend,trend,str,character varying(10),exact
tb_student_competency,ins_user_id,ins_user_id,str,character varying(50),exact
tb_student_competency,ins_dt,ins_dt,str,timestamp without time zone,exact
tb_student_competency,upd_user_id,upd_user_id,str,character varying(50),exact
tb_student_competency,upd_dt,upd_dt,str,timestamp without time zone,exact
tb_student_competency,tb_student_competency,,str,,missing_in_db
tb_user,user_id,user_id,str,uuid,exact
tb_user,login_id,login_id,str,character varying(50),exact
tb_user,password_hash,password_hash,str,character varying(255),exact
tb_user,user_nm,user_nm,str,character varying(50),exact
tb_user,email,email,str,character varying(100),exact
tb_user,phone,phone,str,character varying(20),exact
tb_user,user_type,user_type,str,character varying(20),exact
tb_user,student_id,student_id,str,character varying(20),exact
tb_user,professor_cd,professor_cd,str,character varying(20),exact
tb_user,role,role,str,character varying(20),exact
tb_user,status,status,str,character varying(20),exact
tb_user,mfa_enabled,mfa_enabled,bool,boolean,exact
tb_user,mfa_secret,mfa_secret,str,character varying(100),exact
tb_user,last_login,last_login,str,timestamp without time zone,exact
tb_user,login_fail_count,login_fail_count,str,integer,exact
tb_user,locked_until,locked_until,str,timestamp without time zone,exact
tb_user,ins_user_id,ins_user_id,str,character varying(50),exact
tb_user,ins_dt,ins_dt,str,timestamp without time zone,exact
tb_user,upd_user_id,upd_user_id,str,character varying(50),exact
tb_user,upd_dt,upd_dt,str,timestamp without time zone,exact
tb_user,col_20,,str,,missing_in_db
